edition,series_type,series_name,date,time,title,speaker,speaker_title,institution,description,notes,speaker_bio
Fall 2017,tuesday-distinguished,Distinguished Lecture Series,2017-10-10,10:00-11:30am,Redistricting in Michigan and Other States: Should Politics Choose the Voters,Susan Smith,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Fall 2017 season — record reconstructed from announcement emails.,
Fall 2017,tuesday-distinguished,Distinguished Lecture Series,2017-11-14,10:00-11:30am,Standup for the Power of Skillful Teaching,Deborah Loewenberg Ball,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Fall 2017 season — record reconstructed from announcement emails.,
Fall 2017,tuesday-distinguished,Distinguished Lecture Series,2017-12-12,10:00-11:30am,An Update on Health Care Reform: Where Does it Stand,Dr. Helen G. Levy,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Fall 2017 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-01-09,10:00-11:30am,Brain Aging and What You Can Do About It,Dr. Thad Polk,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-02-13,10:00-11:30am,Getting Into Michigan Musical Theater,Vince J. Cardinal,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-03-13,10:00-11:30am,You are the ‘Public’ in Public Radio,Steve Schram,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-04-10,10:00-11:30am,"Cochlear Implants: New Technology, Applications and Outcomes",Dr. H. Alexander Arts,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-05-08,10:00-11:30am,Albert Kahn in the Second Industrial Revolution,Claire A. Zimmerman,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Winter/Spring 2018,tuesday-distinguished,Distinguished Lecture Series,2018-06-12,10:00-11:30am,Stem Cell Therapy for Neurological Diseases: Where Are We Now,Eva Feldman,"M.D., Ph.D",,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2018 season — record reconstructed from announcement emails.,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-09-18,10:00 - 11:30 a.m.,European Populism: Similarities and Differences with the Past,Andrei S. Markovits,Karl W. Deutsch Collegiate Professor of Comparative Politics and German Studies; Arthur F. Thurnau Professor,University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",Andrei S. Markovits dedicates this lecture to the memory of Joan Badgley Innes.,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-10-09,10:00 - 11:30 a.m.,How Legal “Ethics” Kept An Innocent Man In Prison for 26 Years,Berl Falbaum,Political reporter for The Detroit News and administrative aide to Michigan’s Lieutenant Governor,,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-11-20,10:00 - 11:30 a.m.,What Happened in November 2018 Elections,"Michael Traugott, Ph.D.","Research Professor, Center for Political Studies, Institute for Social Research",University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-12-11,10:00 - 11:30 a.m.,The Trump Administration and the Middle East: Dissecting the Chaos,Saeed A. Khan,Senior Lecturer in the Departments of Near East & Asian Studies and Global Studies,Wayne State University,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2019-01-08,10:00 - 11:30 a.m.,What to Expect in Health Policy After the 2018 Election,"John Z. Ayanian, MD, MPP",Professor of Internal Medicine and Public Policy; Director of the Institute for Healthcare Policy & Innovation (IHPI),University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Winter/Spring 2019,tuesday-distinguished,Distinguished Lecture Series,2019-02-12,10:00-11:30am,A Half-Century of Michigan Memories…and Some Thoughts About Its Future,Jim and Anne Duderstadt,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,"Duderstadt. Parking: Look for OLLI Event Signs on East Huron River Drive close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Don’t forget: coffee and pastries will be in the lobby before the lecture, courtesy of Diane Wright! Donations will be accepted."
