edition,series_type,series_name,date,time,title,speaker,speaker_title,institution,description,notes,speaker_bio
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-09-18,10:00 - 11:30 a.m.,European Populism: Similarities and Differences with the Past,Andrei S. Markovits,Karl W. Deutsch Collegiate Professor of Comparative Politics and German Studies; Arthur F. Thurnau Professor,University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",Andrei S. Markovits dedicates this lecture to the memory of Joan Badgley Innes.,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-10-09,10:00 - 11:30 a.m.,How Legal “Ethics” Kept An Innocent Man In Prison for 26 Years,Berl Falbaum,Political reporter for The Detroit News and administrative aide to Michigan’s Lieutenant Governor,,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-11-20,10:00 - 11:30 a.m.,What Happened in November 2018 Elections,"Michael Traugott, Ph.D.","Research Professor, Center for Political Studies, Institute for Social Research",University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2018-12-11,10:00 - 11:30 a.m.,The Trump Administration and the Middle East: Dissecting the Chaos,Saeed A. Khan,Senior Lecturer in the Departments of Near East & Asian Studies and Global Studies,Wayne State University,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2018,tuesday-distinguished,Distinguished Lecture Series,2019-01-08,10:00 - 11:30 a.m.,What to Expect in Health Policy After the 2018 Election,"John Z. Ayanian, MD, MPP",Professor of Internal Medicine and Public Policy; Director of the Institute for Healthcare Policy & Innovation (IHPI),University of Michigan,"Not printed in this edition — the Fall 2018 catalog lists only date, title, and speaker credentials for each Distinguished lecture.",,
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2020-09-08,10:00-11:30am,Democracy and Debate,Michael Barr,Joan and Samuel Weill Dean of Public Policy at the Gerald R. Ford School,University of Michigan,"The speaker will explore the critical issues facing the country during the Fall 2020 election, including the COVID-19 pandemic and the economic crisis.",All Fall 2020 programs offered online (COVID-19).,"Michael S. Barr is the Joan and Samuel Weill Dean of Public Policy at the Gerald R. Ford School, the Frank Murphy Collegiate Professor of Public Policy, the Roy F. and Jean Humphrey Proffit Professor of Law, and Faculty of the Center on Finance, Law and Policy at the University of Michigan. He served from 2009-2010 as the U.S. Department of the Treasury’s Assistant Secretary for Financial Institutions, and was a key architect of the Dodd Frank Wall Street Reform and Consumer Protection Act of 2010. He received his J.D. from Yale Law School; his Ph.D. in International Relations from Magdalen College, Oxford University, as a Rhodes Scholar, and his B.A. summa cum laude, with Honors in History from Yale University."
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2020-10-13,10:00-11:30am,Efforts by the Chronic Pain and Fatigue Research Center,Daniel Clauw,"Professor, Anesthesiology Medicine (Rheumatology) and Psychiatry",University of Michigan,"Dr. Clauw will speak on the work done by the Chronic Pain Research Center. He will highlight accomplishments of the past, as well as plans for the future.",,Daniel Clauw is a professor of anesthesiology medicine (rheumatology) and psychiatry at the University of Michigan. He serves as Director of the Chronic Pain and Fatigue Research Center. The Research Center is a multidisciplinary center committed to improving the understanding and management of disorders distinguished by symptoms of chronic pain and fatigue. Until January 2009 he also served as the first Associate Dean for Clinical and Transitional Research at the University of Michigan Medical School.
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2020-11-10,10:00-11:30am,What Happened Last Tuesday,Michael Traugott,"Research Professor Emeritus, Center for Political Studies",University of Michigan,"The presidential election of 2020 will be the most critical and challenging in recent memory. Results will determine the composition of the U.S. Senate and House of Representatives and influence the future composition of the US Supreme Court. It will undoubtedly change the face of both major political parties. Professor Emeritus Michael Traugott will talk about the November election outcomes, including the campaigns, primaries, and caucuses.",,"Prof. Traugott has studied mass media impact on American policies. He has a particular interest in the use of surveys and polls and how they are used to cover campaign and elections. Retired from the University of Michigan, he is now Professor Emeritus of Communication Studies and Professor Emeritus of Political Science in the College of Literature, Science and Arts as well as Research Professor Emeritus of Political Science in the Institute of Social Research."
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2020-12-08,10:00-11:30am,Women in American Soccer and European Football: Different Roads to Shared Glory on the Field and in Society,Andrei S. Marcovits,Karl W. Deutsch Collegiate Professor of Comparative Politics,University of Michigan,"The lecture will highlight the opposite paths that women have traversed in the game of Associated Football on both sides of the Atlantic. Whereas the women in North America entered the field that was virtually open for them since men busily covered the playing fields and cultural space of hegemonic team sports of baseball, football (American and Canadian), basketball, and ice hockey; their European counterparts were forced to contest what has arguably been the most male-dominated space in European public life throughout much of the 20th century. Both of these roads harbored immense obstacles. Both entailed challenges of their own that these pioneering women had to overcome. However, spurred by the massively important and popular World Cup tournaments, the last three decades have led to a rapprochement on both sides of the Atlantic by catapulting women’s soccer onto hitherto unexpected, maybe even unimaginable, heights.",Surname printed “Marcovits” in this catalog; the Fall 2018 catalog spells it “Markovits”.,"Andrei S. Marcovits is the Karl W. Deutsch Collegiate Professor of Comparative Politics and an Arthur F. Thurnau Professor at the University of Michigan where he has taught for more than 20 years. In addition to being a multiple-award winning teacher, his many books and articles on a range of topics—from European social democracy, labor and social movements to German-Jewish relations; and from comparative sports cultures to dog rescue—have appeared in 15 languages. His two latest books are Women in American Soccer and European Football; Different Roads to Shared Glory published in 2019; and The Boundaries of Pluralism; The World of The University of Michigan’s Jewish Students in 1897-1945, co-authored with Kenneth Garner and published in 2020."
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2021-01-12,10:00-11:30am,Stress and Brain Health from Biology to Social Context,Huda Akil,"Professor of Neurosciences, The Molecular & Behavioral Neuroscience Institute",University of Michigan,"Dr. Akil and her colleagues have provided the first psychological evidence of endorphins, and showed that endorphins are activated by stress and inhibit pain. In investigations of the mechanism underlying stress activity in anxiety and depression, she demonstrated that social defeat in rodents activates unique neural pathways resembling those alerted in human depression. Her team has also focused on the role of specific genes in the pathology of mood disorders.",Also pointed to (as a sponsored 1/12 lecture) in the Winter/Spring 2021 catalog’s Distinguished preamble.,"Dr. Huda Akil is a graduate of the University of California, University of Iowa and the American University of Beirut. She is the Gardner Quarton Distinguished University Professor of Neurosciences at The Molecular & Behavioral Neuroscience Institute at the University of Michigan. She has made unique contributions to the understanding of the brain biology of emotions, including pain, anxiety, depression and substance abuse. She is the author of over 500 original scientific papers and has been elected to the American Academy of Arts and Science."
